category,dataset,name,source,input_bytes,lzw_units,lzss_units,structure_score,byte_entropy,window_entropy,lzw_ratio,lzss_ratio,detail
audio,PolyAI_minds14,sample_0002,602b9f97963e11ccd901cc32.wav,193936,83309,136502,0.1968,6.9696,11.7626,0.913,0.908,"HF audio bytes, 193936 bytes"
audio,PolyAI_minds14,sample_0003,602bacab5f67b421554f6488.wav,26000,14383,16832,0.2421,6.7413,10.7687,0.968,0.84,"HF audio bytes, 26000 bytes"
audio,PolyAI_minds14,sample_0004,602b9d4cbb1e6d0fbce91fa4.wav,30778,14718,18007,0.3168,6.1087,9.6459,0.837,0.755,"HF audio bytes, 30778 bytes"
audio,PolyAI_minds14,sample_0005,602bafa0bb1e6d0fbce922c7.wav,36468,18198,22092,0.2771,6.3487,10.4344,0.936,0.886,"HF audio bytes, 36468 bytes"
audio,PolyAI_minds14,sample_0006,602baf47bb1e6d0fbce922b6.wav,47162,24433,37652,0.2132,6.7961,11.584,0.971,0.98,"HF audio bytes, 47162 bytes"
audio,PolyAI_minds14,sample_0007,602ba612bb1e6d0fbce92088.wav,68326,34801,50062,0.1923,7.0065,11.8349,1.019,0.944,"HF audio bytes, 68326 bytes"
audio,PolyAI_minds14,sample_0008,602baa0fbb1e6d0fbce9214f.wav,58758,23577,30248,0.3871,5.3395,8.9346,0.752,0.701,"HF audio bytes, 58758 bytes"
audio,PolyAI_minds14,sample_0009,602bac37bb1e6d0fbce921c0.wav,109286,53504,84784,0.2037,6.7227,12.0348,0.979,0.944,"HF audio bytes, 109286 bytes"
audio,PolyAI_minds14,sample_0010,602baf1f5f67b421554f64ce.wav,42384,20546,25254,0.3031,6.1286,10.0426,0.909,0.772,"HF audio bytes, 42384 bytes"
audio,PolyAI_minds14,sample_0011,602baf4fbb1e6d0fbce922b8.wav,56038,29691,41934,0.2227,6.5892,11.6964,0.993,0.958,"HF audio bytes, 56038 bytes"
audio,PolyAI_minds14,sample_0012,602ba81ebb1e6d0fbce920e6.wav,87440,46609,66949,0.1616,7.2059,12.4163,1.066,0.975,"HF audio bytes, 87440 bytes"
audio,PolyAI_minds14,sample_0013,602baf85963e11ccd901ce47.wav,119526,57260,91363,0.178,7.1073,12.0909,0.958,0.941,"HF audio bytes, 119526 bytes"
audio,PolyAI_minds14,sample_0014,602bae7a5f67b421554f64b4.wav,23952,13200,15363,0.302,6.1582,10.0203,0.964,0.797,"HF audio bytes, 23952 bytes"
audio,PolyAI_minds14,sample_0015,602b9b6705f96973d67943ca.wav,38970,23206,30980,0.158,7.3587,12.2272,1.117,0.961,"HF audio bytes, 38970 bytes"
audio,PolyAI_minds14,sample_0016,602bacde05f96973d67944d9.wav,25318,14251,18696,0.242,6.6013,11.0544,0.985,0.915,"HF audio bytes, 25318 bytes"
audio,PolyAI_minds14,sample_0017,602bae8ebb1e6d0fbce9226f.wav,45114,14986,19347,0.5078,4.283,7.183,0.581,0.59,"HF audio bytes, 45114 bytes"
audio,PolyAI_minds14,sample_0018,602bb04b05f96973d679451e.wav,64912,25363,35985,0.3703,5.4845,9.1809,0.733,0.718,"HF audio bytes, 64912 bytes"
