category,dataset,name,source,input_bytes,lzw_units,lzss_units,structure_score,text_repeat_frequency,byte_entropy,window_entropy,lzw_ratio,lzss_ratio,detail
text,wikitext,sample_0156,<memory>,456,302,298,0.4877,2.0,4.5643,7.2662,0.828,0.859,"HF text, 2 lines, 456 bytes"
text,wikitext,sample_0160,<memory>,535,349,366,0.493,2.0,4.4712,7.2825,0.815,0.9,"HF text, 2 lines, 535 bytes"
text,wikitext,sample_0161,<memory>,987,559,547,0.4964,0.0,4.3751,7.3643,0.708,0.786,"HF text, 2 lines, 987 bytes"
text,wikitext,sample_0165,<memory>,216,154,161,0.5303,0.0,4.2376,6.5565,0.802,0.943,"HF text, 2 lines, 216 bytes"
text,wikitext,sample_0166,<memory>,414,275,280,0.5021,0.0,4.4289,7.0744,0.747,0.888,"HF text, 2 lines, 414 bytes"
text,wikitext,sample_0167,<memory>,687,406,405,0.5032,2.0,4.3771,7.1441,0.739,0.816,"HF text, 2 lines, 687 bytes"
text,wikitext,sample_0171,<memory>,401,264,272,0.5075,0.0,4.3961,6.9692,0.741,0.9,"HF text, 2 lines, 401 bytes"
text,wikitext,sample_0172,<memory>,331,231,237,0.499,0.0,4.5025,7.0264,0.785,0.919,"HF text, 2 lines, 331 bytes"
text,wikitext,sample_0176,<memory>,393,249,258,0.5193,2.0,4.2553,6.8702,0.713,0.894,"HF text, 2 lines, 393 bytes"
text,wikitext,sample_0177,<memory>,471,299,298,0.5145,0.0,4.2845,6.9655,0.714,0.823,"HF text, 2 lines, 471 bytes"
text,wikitext,sample_0178,<memory>,387,261,277,0.5073,0.0,4.3663,7.0332,0.759,0.931,"HF text, 2 lines, 387 bytes"
text,wikitext,sample_0182,<memory>,1167,664,658,0.4756,0.0,4.5777,7.6261,0.711,0.815,"HF text, 2 lines, 1167 bytes"
text,wikitext,sample_0186,<memory>,702,434,429,0.4789,2.0,4.6201,7.4365,0.773,0.816,"HF text, 2 lines, 702 bytes"
text,wikitext,sample_0187,<memory>,1135,630,616,0.4768,2.0,4.5959,7.5516,0.694,0.777,"HF text, 2 lines, 1135 bytes"
text,wikitext,sample_0273,<memory>,706,414,360,0.4969,2.3333,4.4267,7.2443,0.733,0.696,"HF text, 2 lines, 706 bytes"
text,wikitext,sample_0277,<memory>,562,353,341,0.4908,0.0,4.5144,7.2649,0.785,0.812,"HF text, 2 lines, 562 bytes"
text,wikitext,sample_0278,<memory>,999,555,510,0.4822,2.6667,4.5844,7.4024,0.694,0.728,"HF text, 2 lines, 999 bytes"
text,wikitext,sample_0279,<memory>,209,158,159,0.5156,0.0,4.4081,6.6848,0.85,0.94,"HF text, 2 lines, 209 bytes"
